user,service
커피가 들어간 거에요 ,아뇨 커피는 들어가지 않습니다
베리민트는요 ,베리민트도 홍차에요
맛은 똑같은 거에요 ,얼그레이는 얼그레이 맛이 나고 민트는 민트 맛이 납니다
아트라떼는 솔티치즈랑 다르게 커피가 들어가는 건가요 ,네 아트라떼는 커피가 들어갑니다
바닐라 라떼 하나만 주세요,따뜻한 거로 드릴까요 
네 따뜻한 걸로 주세요,네 따뜻한 걸로 드리겠습니다
주차 잠깐 해도 돼요 ,가게 앞 주차장 사용가능합니다
그럼 세울 데는 없어요 ,가게 근처 빈자리에 대시면 됩니다
주차 단속은 안하려나 ,네 주자 단속은 안 합니다
많이 안 달죠 ,네 달지 않습니다
커피 말고는 뭐 있어요 ,커피 말고는 라떼도 있고 주스도 있습니다
어떤 게 잘 나가요 ,라이트한 아이스 아메리카노 잘나가구요 샌드위치 잘 나갑니다
망고는 뭐에요 ,망고는 시원해서 젊은 사람들이 선호합니다
레몬에이드 잘 나가요 ,레몬청을 직접 담아 많이 달지 않고 상큼 합니다
레몬에이드 한잔 주세요,네 레몬에이드 한 잔 드릴게요
영수증 하나만 주세요,저희 가게는 현금 결제 시 영수증이 안 나옵니다
곡물 라떼는 뭐 들어가요 ,곡물 라떼는 곡물 가루를 사용하고 우유 거품을 같이 넣어드려요
블루베리 주스에는 시럽 들어가요 ,시럽 안 넣고 싶으시면 말씀해주세요
시럽 조금만 넣어주세요,네 시럽은 조금만 넣어드릴게요
사장님 냉동 블루베리에 시럽만 넣었죠 ,우유도 들어갔습니다
오늘은 몇 시까지 해요 ,여섯시까지 합니다
돌체라떼인가 연유 들어가는거 있어요 ,네 연유 들어가는거 있어요
연유 말고 또 뭐 들어가요 ,무지방 우유도 들어가요
아메리카노 하나 따뜻한 걸로 주세요,돌체라떼 말고 아메리카노 드릴까요 
네,사이즈는 톨사이즈로 하세요 
네 톨사이즈로 주세요,네 삼천팔백 원입니다
아메리카노 많이 뜨거워요 ,아메리카노는 좀 뜨거워요 
주차는 가게 앞에 하면 돼요 ,네 가게 앞 주차장 사용가능합니다
은색 텀블러 얼마에요 ,텀블러 뒤에 가격표 확인 가능합니다
사장님 커피 메뉴판 어딨어요 ,여기 있습니다
사장님 샌드위치는 직접 만드신거에요 ,네 직접 만들었습니다
샌드위치랑 치즈케익이랑 베이글 중 어떤게 제일 잘 나가요 ,다 비슷해요
베이글 하나 주세요,한 개 드릴까요 
네 사장님 차는 어디 세우고 들어오면 돼요 ,가게 앞 주차장 사용가능합니다
사장님 더치커피는 이 큰병에 만삼천 원이에요 ,옆에 있는 더치커피가 만 삼천원 입니다
핸드드립이랑 콜드브루는 뭐가 달라요 ,핸드드립은 저희가 손으로 내리는 거고 콜드브루는 더치로 차게 내리는 음료입니다
핸드드립커피 주세요,핸드드립 하우스블렌드 에이랑 비 중에 고르시겠어요 
비 따뜻한거 한잔이랑 콜드브루로 주세요,콜드브루 한 잔 맞으세요 
콜드브루는 따뜻한 거에요 ,콜드브루는 차가운 거밖에 없어요
여기 톰과 제리 치즈 모양 생긴게 치즈 케이크인가요 ,네 치즈케이크에요
여기는 주차는 어디다 해요 ,가게 앞 주차장 사용가능합니다
여기 생긴 지 얼마나 됐어요 ,저희 일년 정도 됐습니다 
금방 만든 거 있어요 ,예 몇 개 드릴까요 
베이글 얼마씩 해요 ,한 개에 3000 원입니다
이상형이 어떻게 되세요 ,당신에 이상형
토끼가 강한 이유는,깡과 총이 있어서
여자친구는 있어요,네 지금 절 바라보고 웃고 있네요
베이커리하고 카페하고 같이 하시죠 ,네 음료도 팔고 있습니다
전화번호는 뭐에요,네이어에 물어보시면 되요
남자친구는 있어요,오늘부터 1일
이 가게는 커피를 뭘 쓰나요,저는 직원이라 잘 모르겠서요
커피 한잔 주세요,어떤 걸로 들리까요
음료 한잔 주세요,어떤 걸로 드릴까요
영수증 하나만 주세요,예 여기 있습니다
젤라또 통에다 넣어주세요,네 가지 맛이 들어가는 작은 통에 넣어드릴까요 
네 어떤 맛이 잘 나가나요 ,녹차랑 티라미수도 맛있고 치즈 좋아하세요 
네 치즈도 괜찮아요 ,치즈도 잘 나가고 블루베리도 괜찮아요
그렇게 네 가지 넣어주세요,네 드시고 가시는 거 맞죠 
커피 말고 따뜻한 음료 추천해 주세요,따듯한 라떼 자몽차 추천해드려요
예 영수증 좀 주세요,예 여기 있습니다
여기는 주차 할 데는 없죠 ,가게 앞 주차장 사용가능합니다
베이글도 직접 만드신 거에요 ,베이글은 우리가 받아서 해요
저건 삼천오백 원 맞죠 ,네 삼천오백 원입니다
샌드위치 종류 파시는데 커피도 파시는 건가요 ,네 둘다 판매 하고 있습니다
몰디브라떼는 뭐에요 ,카페라떼에 시럽이 들어가는데 그것보다는 카라멜라떼나 카페모카를 더 추천해드릴게요
여기 오늘의 커피라고 있다고 하던데 그건 뭐에요 ,드립커피에요
일반 아메리카노랑 같은 거에요 ,아메리카노와 달리 산미가 좀 높고 카페인에 민감하신 분들이 많이 드세요
제조용법이 다른 거에요 ,다른 건 아니고 아메리카노는 기계를 사용해서 고온 고압으로 내리는데 오늘의 커피는 드립 기계로 내려요
사이즈는 어떻게 돼요 ,사이즈는 둘 다 톨 사이즈와 숏 사이즈 됩니다
조용한 음악으로 바꿔줘,베토벤에 사계 어떠세요
가격은요 ,아메리카노는 삼천백 원 드립은 삼천팔백 원이에요
삼천팔백 원짜리 드립커피 하나 주세요,내리는데 오분 정도 걸리는데 괜찮으실까요 
네,드시고 가시구요  
네,따뜻한 오늘의 커피 톨 사이즈로 드리면 될까요 
네,현금영수증 하시나요 
네 이층에도 자리가 있나요 ,네 핸드폰 알림 울리면 가지로 오세요
여기 물은 따로 없나요 ,정수물 드릴까요 
네 조금만 주세요,음료 젓는 거 드릴까요 
네 시럽은 따로 주나요 ,시럽은 저쪽 뒤에 보시면 있어요
여기 커피 말고는 음료수 뭐 있어요 ,생과일 네 종류 있고 허브 차도 있고 에이드도 있어요
안 차가운건 없어요 ,다 따뜻하게 가능해요
초콜렛 같은 건 없나요 ,있습니다
더블 모카가 초코라떼에요 ,네 맞아요
커피는 안들어가죠 ,커피는 안들어갑니다
사이즈가 ,작은 거랑 큰 거 가능하세요
작은 거 하나 주세요,드시고 가세요 
아뇨 가지고 갈게요,사천이백 원 결제 도와드릴게요
네 여기는 할인되거나 이런 카드 없죠 ,카드는 없습니다
혹시 쿠폰은 있어요 ,저희 매장에 포인트 등록하시면 적립 해드려요
사용 금액의 몇 퍼센트 적립돼요 ,오 퍼센트 적립됩니다
영수증 좀 주세요,네 잠시만요
여기 오전에는 몇 시에 문 열어요 ,오전 열시에 오픈이에요
초코음료는 뭐 어떤 거 있어요 ,아이스초코랑 초코스무디요
스무디는 얼음 넣어서 갈은 거죠 ,네 맞아요
핫초코 하나만 주세요,핫초코는 생크림 올라가는데 괜찮으세요 
생크림은 빼고 우유만 넣어주세요,오천육백 원이요
여기는 할인은 따로 없어요 ,네 할인은 따로 없고 해피포인트 적립 가능하세요
에스케이 할인은 안돼요 ,통신사 할인은 안됩니다
영수증 좀 주세요,네 바로 드리겠습니다
여기 화장실은 어딨어요 ,카운터 오른쪽에 있어요
어떤 음료가 잘나가요,라이트한 맛의 아이스 아메리카노가 잘나가요
화장실 문 잠겼던데 ,비밀번호 1234 입니다
이층은 어디로 올라가요 ,옆 계단으로 올라가시면 됩니다
배달도 하나요 ,배달 합니다
뭐가 맛있어요 ,따뜻한 거랑 시원한 거 중에 어떤 거 찾으세요 
따뜻한 거요,따뜻한 거 중에는 레몬 티와 생자몽 티가 있습니다
생자몽 티 따뜻하게 한 잔 주세요,가져가실 거예요 
아뇨 여기 적립도 해요 ,예 쿠폰 찍어 드릴게요 
할인도 하나요 ,할인은 따로 없고 적립만 가능하세요
적립할 때 여러 명이 오면 어떻게 하나요 ,잔 수에 따라 찍어드립니다
자몽 티 덜 달게 되나요 ,예 덜 달게 해드릴게요
자몽 청은 여기서 만드신거에요 ,제가 만든 거에요
아까 영수증 안 주셨어요,드릴게요
따뜻한 거는 더 싼 가봐요,삼천오백 원입니다
배달 시킬 수 있게 명함 한 장 주실 수 있나요 ,네 여기 있습니다
커피 들어가는 음료 중에 덜 단 게 있나요 ,라떼가 제일 안 달고 바닐라 라떼 같은 경우 시럽 빼어드릴 수 있어요
카페 라떼로 주세요,사이즈는 어떻게 드릴까요 
작은 걸로 주세요,드시고 가세요 
예 테이크아웃 하면 더 저렴해요 ,아니요 가격은 똑같습니다
적립용 카드 하나 만들어 주세요,바로 만들어 드리겠습니다
여기는 스타벅스처럼 럭키백 행사는 안하나요 ,네 따로 그런 건 없어요
뚜껑 안 닫아 주셔도 돼요,네 알겠습니다
아메리카노 주세요,따뜻한 거 드릴까요 
예,드시고 가시는 거에요 
테이크아웃은 더 싼가요 ,가지고 가시면 오백 원 할인돼요
테이크아웃으로 해주세요,네 이천오백 원 결제할게요
시럽은 빼주세요,시럽 뺴드리겠습니다
마시고 갈게요,머그잔에 드릴게요
예 영수증도 하나주세요,네 영수증 드릴게요
네 여기는 네일도 같이 하나요 ,네 같이 하고 있습니다
커피랑 네일은 별도로 운영하시는 건가요 ,별도로 운영합니다
청을 직접 만들어 갖고 파나봐요,네 레몬이랑 자몽청 만들어서 판매하고 있어요
사장님 커피에 얼음 세 개만 넣어주세요,네 따로 드릴게요
사장님 이런 잔은 얼마에요 ,원래 이만 칠천 원인데 현금하시면 이만 천육백 원이에요
제가 지금 먹는 잔 맞죠 ,맞아요
이거 아이스 팬은 밀크하고 블랙하고 어떻게 달라요 ,둘 다 차가운 것만 가능한데 밀크는 우유가 들어가서 고소하고 블랙은 물이 들어가서 깔끔합니다
커피가 들어갔나요 ,네 둘 다 더치커피가 들어가요
라떼 종류 중에 안 단 건 어떤 게 잘 나가요 ,라떼가 아예 안 달고 바닐라나 나머지 커피류는 전부 달달해요 
애플 시나몬이 신메뉴인가요 ,저건 없어요
주소는 어떻게되,광주 북구 첨단과기로 339 입니다
더치 커피하고 더치 라떼가 있네요 ,물 들어가고 우유 들어가고 차이에요
더치 라떼 따뜻한거 하나 줘요,시럽 조금만 넣을까요 
네 조금만 넣어주세요,삼천 원 결제할게요
이 카드로 해주세요,쿠폰 하나 드릴까요 
네 영수증도 하나 주세요,네 여기 있습니다
시럽은 약간만 넣었나요 ,조금 넣었어요
미숫가루 라떼 종류가 되게 많네요 ,그거는 커피가 안 들어가는 라떼에요
생강 차는 생강 분말 들어가요 ,생강 청이랑 생강 가루가 들어갑니다
생강 수삼주스는 뭐에요 ,수삼이랑 우유 갈아서 나가는 거에요
수삼주스는 얼마에요 ,오천오백 원입니다
그러면 아메리카노 따뜻한 거 한 잔 주세요,이천팔백 원 결제 도와드릴게요
예 마시고 갈거에요,영수증 필요하세요 
예 이건 수제쿠키에요 ,그냥 쿠키에요
이거 햄치즈는 얼마에요 ,3500 원입니다
너무 뜨거워서 그런데 여기 얼음 세 개만 넣어주세요,네 넣어 드리겠습니다
로얄 밀크티는 뭐에요 ,홍차에 티백 들어가는 음료입니다
커피가 들어갔나요 ,아뇨 커피 안 들어가요
얼그레이는 홍차고 베리민트는 뭐에요 ,베리민트도 홍차 들어가요
맛은 똑같은가요 ,얼그레이는 얼그레이 맛이 나고 민트는 민트 맛이 납니다
녹차라떼 하나 줘요,따뜻한 걸로 드릴까요 
네 따뜻한 걸로 주세요,삼천오백 원이요
네 여기 뒤에 차 잠깐 세워도 돼요 ,뒤쪽이 맘스터치 거라서 차 세우면 안 되세요 
차는 어디에 세워요 ,가게 근처 빈자리에 세우시면 됩니다
여기 주차 단속은 안하나요 ,네 단속 안합니다
커피 말고는 뭐 있어요 ,라떼도 있고 주스도 있습니다
여기는 어떤 게 잘 나가요 ,라이트한 아이스 아메리카노와 샌드위치가 잘나갑니다
아메리카노 한잔 주세요,아메리카노 한잔 주문 받았습니다 4000원 입니다
초코 라떼도 잘나가나요,수제 초코를 갈아 만든 라떼 입니다 정말 맛있어요
초코는 선택 할 수 있나요,네 화이트 초코와 일반 초코로 선택 하실 수 있어요
초코 라떼 화이트로 한잔 주세요,네 화리트 초코라떼 준비해 드릴께요 폰 알림으로 알려드리겠습니다
영수증 좀 주세요,네  영수증 드리겠습니다
사장님 저 자몽차에는 뭐가 들어가요,자몽차는 수제로 만든 자몽청을 이용해서 많이 달지 않고 상큼한 자몽향을 느낄 수 있어요
자몽차에는 시럽이 들어가나요,자몽차에는 따로 시럽이 들어가지 않습니다
시럽을 넣어도 되나요,네  시럽 넣어드리겠습니다
자몽차에는 시럽만 넣었나요,자몽차에는 수제 자몽청과 따뜻한 물만 들어갑니다
오늘은 몇 시까지 해요 ,10시까지 합니다
이름이 뭐에요,콩휴요 공유 아니요 콩 휴 요
카페라떼 많이 달아요 ,카페라떼는 달지 않습니다
자바칩 프라프치노는 많이 달아요,캬라멜 마끼아또는 단 음료입니다
자바칩 프라프치노도 시럽 빼면 괜찮을까요  ,자바칩 프라프치노는 시럽을 뺄 수는 없지만  적게 넣을 수는 있습니다
케이크 종류도 있어요 ,네  케이크도 있습니다
치즈 케익은 어떤 거에요 ,뉴욕 솔츠 치즈를 이용해서 단짠단짠 환상의 조합을 가진 극강의 디저트입니다
치즈 케익은 많이 단가요,아니요 먹으면 달큰한 정도 입니다
레몬 에이드도 많이 달아요 ,네  레몬 에이드는 단 음료입니다
에이드가 차가운거죠 ,에이드는 차갑게  따뜻하게 모두 가능합니다
주차장은 없나봐요 ,가게 앞 주차장 사용가능합니다
카페라떼는 설탕 빼주세요,네  카페라떼에 설탕 빼드리겠습니다
오늘의 커피는 뭐에요 ,오늘의 커피는 라이트한 맛의 아이스 아메리카노 입니다
아메리카노하고 별 차이가 없어요 ,아메리카노는 압력으로 추출하는 거라서 기름층이 있는데 오늘의 커피는 기름층 없이 부드럽게 드실 수 있어요 
오늘의 커피 연한 것도 가능해요 ,이미 연하게 만든거라 더 연하게는 안되세요
오늘의 커피랑 아이스 아메리카노 주세요,오늘의 커피는 따뜻하게 드릴까요 
네 따뜻한 걸로 주세요,드시고 가세요 
네,사이즈 작은 걸로 두 잔 드리면 될까요 
작은 거 두 잔이 어느 정도에요 ,왼쪽에 보시면 저희 컵 사이즈 예시가 나와있어요
제일 위에가 작은 거에요 ,네 작은 거에요
작은 걸로 하고 충전도 할게요,충전 해서 결제 해드리면 될까요 
아뇨 충전만 5만원 해주세요,드시고 가시는거 맞으시죠 
먹다 남으면 포장 되나요 ,네  테이크아웃 잔에 옮겨 드려요
영수증 주세요,네 영수증  오늘의 커피랑 아이스 아메리카노 준비해드리겠습니다
제일 작은 사이즈에요 ,네  가장 기본 사이즈고 따뜻한 건 한 단계 작은 사이즈가 또 있어요
빨대 주시고 물 한 컵 떠갈 수 있나요 ,빨대와 물은 옆쪽에 보시면 준비되어 있습니다
카페 라떼는 단 맛 조절이 가능해요 ,네  카페 라떼는 단 맛 조절이 가능합니다
시럽이 조금만 들어가도 많이 달아요 ,단 맛이 나기는 합니다
카페 라떼 시키면 얼음물 주나요 ,얼음은 따로 준비해 드릴 수 있습니다
이천쌀라떼가 뭐죠 ,죄송합니다 이천 쌀라떼는 판매하지 않습니다
커피가 안 들어가는 거죠 ,네 커피는 들어가지 않습니다
현금으로 결제를 하더라도 스타벅스 어플에 이력이 남나요 ,스타벅스 카드 사용만 이력이 남습니다
카페 라떼하고 카페 모카하고 뭐가 달라요 ,카페 라떼에는 우유만 들어가고  카페 모카는 우유  모카 소스가 들어가 단 맛이 나는 커피입니다
카페라떼 하나 주세요,드시고 가시나요 
텀블러 갖고 왔는데 할인 되나요 ,텀블러는 삼백 원 할인 됩니다
텀블러에 담으려면 사이즈는 어떤 거 해야 돼요 ,톨사이즈 입니다
톨사이즈가 제일 작은 건가요 ,숏사이즈로 한 사이즈 더 작은 게 있습니다
톨사이즈로 주세요,네  톨사이즈로 준비해드리겠습니다
샷은 한 개 들어가겠네요 ,네  톨사이즈는 샷이 한 개 들어갑니다
우유 양을 조금 더 많게 할 수 있나요 ,거품 양을 조절해 우유 양을 조절 합니다
카드에 잔액이 남아 있나요 ,잔액이 없습니다
충전해주세요,얼마 충전 해드릴까요 
삼만원이요,현금 영수증 드릴까요 
아뇨 설탕은 내가 따로 넣어야 돼요 ,네 설탕은 직접 넣으셔야 됩니다
초콜릿 크림슈는 무슨 맛이에요 ,초코맛 슈크림이 들어갑니다
잘 나가는 케이크가 어떤거죠 ,조각케이크로요 
네 조각케이크로요,치즈케이크과 로얄비트쉬폰  레드벨벳이 잘 나갑니다
뉴욕 치즈케이크 하나 주세요,포장이세요 
네 포장해주세요,4000원 입니다
할인되는 카드 있어요 ,현대엠포인트와 삼성포인트 신용카드  씨제이원카드로 적립 가능하세요
씨제이 원카드라는건 뭐에요 ,씨제이 계열사 포인트인데  없으세요 
있어요 ,실물카드나 바코드 있으시면 포인트 사용하시거나 적립 가능하세요
하나는 씨제이 원카드고 하나는 씨제이 계열 할인되는 국민 신용카드인데 두 개 다 사용 가능한가요 ,네 씨제이 원카드  국민카드 모두 사용 가능합니다
여긴 주차장이 따로 없죠 ,가게 앞 주차장 사용가능합니다
포크 두 개 넣으셨나요 ,네 포크 두 개 넣었습니다
화이트 초콜릿 모카랑 카페 모카랑 뭐가 달라요 ,카페모카는 초코 소스가 들어가고  화이트 초콜릿 모카는 좀 더 진한 화이트 초코 소스가 들어갑니다
소스가 더 끈적하다는 건가요 ,네 초코 소스 보다 더 달은 소스 입니다
카페 라떼 하나 주세요,따뜻하게 톨사이즈로 드릴까요 
제일 작은 사이즈가 뭐죠 ,숏사이즈 있어요
바리스타는 공유씨 인가요,콩휴 입니다 공유아니고 콩 휴 요 
톨사이즈로 주세요,드시고 가세요 
아뇨 테이크아웃할게요,음료는 한 잔만 드릴까요 
네,사천 육백 원 결제하겠습니다
스타벅스 카드가 집에 많은데 별 적립한 걸 한 카드로 모을 수 있나요 ,계정 등록하신 카드인가요 
잘 모르겠어요,확인해드릴게요
진열 된 건 모형이죠 ,네  진열 된 것들은 모형입니다
커피 음료 말고는 어떤게 있어요 ,티  라떼  스파클링과 주스가 있습니다
자색 고구마는 어떤 맛이에요 ,자색 고구마와 우유로 만든 음료입니다
초콜릿 라떼 하나 주세요,드시고 가세요 
아니요 일단 테이크아웃으로 주세요,네 5000원 입니다
할인되거나 적립되는 카드 없죠 ,SK포인트 있으시면 사용 가능하세요
몇 퍼센트 되죠 ,SK포인트는 15퍼센트 적용 가능합니다
주차는 어디다 하나요 ,가게 앞 주차장 사용가능합니다
티멤버십 이 어플로 하면 되나요 ,네 티멤버십 어플 맞습니다
지금까지 실물카드 계속 썼는데 왜 안되죠 ,카드가 컴퓨터에 입력이 안되는 것 같습니다
영수증 좀 주세요,네 영수증 드리겠습니다
커피음료 말고는 어떤 게 있어요 ,따뜻한거 찾으시나요 
네,밀크 베버리지나 블렌딩 드란티 종류로 보시면 됩니다
플랫치노에 적힌 초콜릿칩은 뭐에요 ,플랫치노는 얼음이 들어가는 음료입니다
따뜻한 음료 중에 초콜렛은 없어요 ,초코 라떼 있는데 드릴까요 
네 한 잔 주세요,휘핑크림 올려 드릴까요 
아니요,적립 하시겠어요 
아니요 ,네 드시고 가시는 건가요 
주소는 어떻게되,광주 북구 첨단과기로 339 입니다
일단 종이컵에 테이크아웃 해주세요 ,매장 내에서는 일회용 컵 사용이 금지되어 있어서 양해 부탁드립니다
요거트 음료도 있나요,죄손합니다 그 메뉴는 없습니다
그러면 아메리카노 하나 주시고 초코라떼는 뭐예요 ,초코라떼는 수제 초코릿을 갈아넣은 커피음료 입니다
애들은 어떤 프라프치노를 좋아하나요 ,아이들은 쿠키프라프치노를 많이 먹어요
아메리카노 하나랑 쿠키프라프치노 주세요,쿠키프라프치노에 휘핑크림 올려드릴까요 
네 휘핑 올려주세요,쿠폰 드릴까요 
네 전에 받은 쿠폰도 있어요,쿠폰 합쳐드릴게요
쿠폰 10개 모으면 음료 종류 상관없이 한 잔 무료예요 ,아뇨 아메리카노 하나만 가능하세요
음료 안 쏟아지게 잘 포장해주세요,네 포장해드리겠습니다
이 음료에는 생자몽이 들어가요 ,네 생자몽을 말려 넣어 드리는 거에요
에스프레소는 뜨거운 물 따로 주나요 ,죄송합니다만 에스프레소는 불가능하고 2층 안쪽에 따로 레몬물이 준비되어 있습니다
날이 추운데 따뜻한 음료 뭐 있어요?,따듯한 라떼 자몽차 추천해드려요
라떼 중에서는 카페라떼가 제일 덜 달죠 ,네 시럽이 안 들어가서 제일 안 달아요
카페라떼 하나 주세요,드시고 가세요 
네 2층에도 자리 있죠 ,네 해피포인트 카드 있으세요 
네 여기요,적립 해드렸습니다
베이글 한개에 2000원인가요 ,네 베이글은 한 개당 30000원입니다
베이글이랑 치크케익도 하나씩 주세요,저희 매장 9시반까지 이용 가능하신데 괜찮으세요 
네 아이스 아메리카노도 하나 주세요,저희 마감 시간 다 돼서 테이크아웃컵에 제공해드릴게요
샌드위치랑 베이글도 하나씩 더 주세요,네 베이글 총 다섯 개 구매하는 거 맞으시죠 
음료 제일 잘나가는 거요,라이트한 맛의 아이스 아메리카노가 잘나가요
네 승차권 있으면 10프로 할인되나요 ,네 승차권 있으시면 음료 10퍼센트 할인 가능합니다
영수증 하나 주세요,네 할인해서 7700원입니다
종이컵이랑 빨대 하나만 더 주면 안돼요 ,종이컵과 빨대는 옆에 있습니다
커피 메뉴는 어디 있어요 ,이쪽에 있어요
테이크아웃은 할인돼요 ,네 테이크아웃하실 경우 할인됩니다
커피에 샷은 한 개 들어가나요 ,아메리카노는 샷이 하나 들어가고 카페라떼는 두 개 들어갑니다
커피인데 달콤하게 먹을 수 있는게 있나요 ,바닐라라떼를 추천드릴게요
바닐라라떼에 바닐라가 들어간건가요 ,바닐라 시럽이 들어가요
커피콘은 밀가루에 커피를 넣은 건가요 ,네 와플같은 디저트입니다
커피콘 12개에 1500원짜리 테이크아웃이요,네 테이크아웃으로 해드리겠습니다
자스민차 있나요 ,자몽차만 준비되어있습니다
차 종류는 어디있나요 ,차 종류는 저쪽 메뉴판을 보시면 돼요
아메리카노에 찬물을 조금 넣어주세요,네 드시고 가세요 
아뇨 테이크아웃 해주시고 10프로 할인해주시는거 맞나요 ,아뇨 원래 아메리카노 4000원인데 3500원으로 해드리는 거예요
영수증도 좀 주실래요 ,네 음료랑 같이 드릴게요
아메리카노에 찬물 넣으셨어요 ,네 아메리카노에 찬물 조금 넣어드렸습니다
사장님 아메리카노가 뜨거워서 그러는데 얼음 몇 개 넣어주실 수 있어요 ,네 얼음 드릴게요
테이크아웃하면 할인되나요 ,아뇨 테이크아웃하셔도 가격은 같습니다
빵도 여기서 만드는 거예요 ,네 1시되면 빵이 나와요
더치커피도 있어요 ,네 더치커피 종류는 브라질 콜롬비아 에티오피아 세 가지 종류가 있어요
아메리카노 한 잔 주세요,따뜻한 걸로 드릴까요 
네 따뜻한 걸로 주세요,3800원 결제해드리겠습니다
더치커피는 작은 것도 팔아요 ,더치커피는 앞에 있는 작은 것만 판매하고 있습니다
더치커피 얼마인데요 ,4000원입니다
커피는 누가 만들어요,접니다 콩휴
근처에 해룡이라는 중국집 있어요 ,해룡은 조금 더 올라가셔야 해요
빵 시식 한 번 해봐도 돼요 ,네 드셔보세요
커피 하나 주세요,아메리카노 맞으세요 
네 테이크아웃 할인돼요 ,포장 할인은 안되세요
아메리카노 따뜻한거 하나 주세요,적립하실 전화번호 등록하신거 있으세요 
아뇨 적립은 몇퍼센트 되나요 ,카드는 3퍼센트 현금은 5퍼센트 적립되시고 5000점부터 사용 가능합니다
전화번호만 말씀해드리면 돼요 ,네 전화번호만 말씀해주세요
8564385O,성함이 어떻게 되세요 
박병옥,영수증 필요하세요 
네 포인트 적립됐어요 ,네 영수증 밑에 보시면 포인트 적혀있어요
커피에 샷이 몇 개 들어가요 ,따뜻한 아메리카노에는 샷이 한 개 들어갑니다
커피가 너무 뜨거운데 얼음 세 개만 넣어주세요,네 얼음 넣어드릴게요
2층도 있어요 ,2층은 없어요
빵 시식할 수 있는 거 있어요 ,네 시식은 저쪽에서 가능하세요
빨대는 어디 있나요 ,카운터 밑에 보시면 납작한 빨대 있습니다 
밀크티은 얼마예요 ,밀크티은 4500원이에요
혹시 빵 배달도 해주시나요 ,배달가능 합니다 주소가 어떻게 되세요
명함 하나 가져가도 되죠 ,네 명함 드리겠습니다
본점도 있어요 ,저희 매장이 본점이에요
자몽차 테이크아웃 되나요 ,네 테이크아웃 가능하세요
혹시 자몽차 두 잔으로 나눠줄 수 있어요 ,죄송합니다 본 매장은 1인 1메뉴 입니다
자몽차 한 잔하고 아메리카노 뜨거운 걸로 하나 주세요,드시고 가세요 
가져갈게요,테이크아웃 500원씩 할인되서 6500원입니다
영수증 주세요,네 영수증 드리겠습니다
음료 뜨겁지 않게 찬물 조금만 넣어주세요,네 찬물 넣어드리겠습니다
일요일에는 영업을 안하세요 ,일요일 영업은 오후 6시에 마칩니다
쉬는 날은 없어요 ,명절을 제외하고는 쉬는 날이 없습니다 
여기 더치커피 팔아요 ,죄송합니다만 지금은 더치커피 재고가 없어요
아메리카노에 샷이 한 개에요 ,네 아메리카노에는 샷이 한 개 들어갑니다
조금만 마시고 가도 되죠 ,테이크아웃 할인해드려서 불가능합니다
커피가 1리터예요 ,1리터도 가능하시고 작은 사이즈도 있어요
커피 가격이 1000원이에요 ,행사 가격인대 지금은 끝났서요
아메리카노 한 잔 주세요,따뜻한 걸로 드릴까요   
네 따뜻한 걸로요,사이즈는요 
작은 걸로 주세요,드시고 가세요 
테이크아웃 해주시고 스탬프 적립돼요 ,큰 사이즈만 스탬프 적립이 가능합니다
커피에 얼음 두 개만 넣어주실 수 있어요 ,네 얼음 넣어드릴게요
여기 생긴지 얼마나 됐어요 ,생긴지 얼마 안됐어요 한 1년
커피에 샷 한 개 들어간 거예요 ,네 아메리카노에는 샷이 한 개 들어갑니다
자몽은 얼마예요 ,주스용이라 판매하고 있는자몽이 아닙니다
영수증 주세요,네 잠시만 기다려주세요 
영수증 주세요,메뉴판은 메뉴글로 안내해드리겠습니다
커피 중에 우유는 안들어가는데 달콤한게 있나요 ,아메리카노에 시럽 추가하시는 걸 추천드릴게요
카페모카에는 뭐가 들어갔죠 ,카페모카에는 초코 시럽이 들어가 있어요
카페모카 위에 올라가 있는 건 우유 거품인가요 ,우유 거품이 아닌 휘핑크림인데 빼실 수 있습니다
카페모카에 휘핑크림 올려주세요,따뜻한 걸로 드릴까요 
네 따뜻한 걸로 주세요,드시고 가세요 
아뇨 테이크아웃 해주시고 우유는 조금만 넣어주세요,우유를 덜 넣으면 맛이 진해지는데 괜찮으세요 
네 카페모카에 커피는 안들어가요 ,카페모카에는 샷이 두 개 들어갑니다
영수증 주세요,네 테이크아웃하셔서 1000원 할인됐습니다
휘핑크림은 뭘로 만드나요 ,휘핑크림에는 우유와 바닐라시럽이 들어갑니다
플랫화이트가 뭐예요 ,우유 양이 적은 라떼입니다
여기 체인점이에요 ,아뇨 개인 카페입니다
생긴지 얼마나 됐어요 ,1년 넘었어요
포인트 적립도 하나요 ,저희 매장에서 사용 가능한 쿠폰 드리겠습니다
따뜻한 아메리카노 작은 걸로 주세요,네 테이크아웃 할인 해드리겠습니다
더치커피도 판매 하나요 ,죄송합니다만 더치커피는 없어요
영수증 주세요,네 영수증 드리겠습니다
원두는 갈아서 파시나요 ,아뇨 원두는 안 팔고 있습니다 
컵 홀더 있나요 ,네 컵에 홀더 끼워드릴게요
아메리카노에 샷이 두 개인가요 ,네 아메리카노는 투 샷이에요
얼음 두 개만 넣어주세요,네 얼음 넣어드릴게요
케냐 에티오피아가 뭐예요 ,매장에서 사용되는 원두입니다
더치 아메리카노는 아이스만 되죠 ,아뇨 따뜻한 것도 됩니다
